Frames,TOTAL
1,-8.4
3,-19.82
5,-15.83
7,-24.01
9,-16.13
11,-6.46
13,-10.3
15,-10.14
17,-24.57
19,-18.94
21,-11.72
23,-22.18
25,-12.9
27,-14.05
29,-16.66
31,-11.69
33,-10.93
35,-7.64
37,-12.31
39,-11.11
41,-7.78
43,-14.68
45,-16.38
47,-13.08
49,-4.52
51,-14.63
53,-13.18
55,-11.7
57,-13.92
59,-19.47
61,-19.25
63,-21.82
65,-17.86
67,-18.09
69,-21.26
71,-21.22
73,-20.83
75,-22.28
77,-20.69
79,-15.59
81,-15.67
83,-20.16
85,-10.25
87,-14.32
89,-14.3
91,-23.49
93,-18.92
95,-15.7
97,-11.05
99,-13.48
101,-15.68
103,-15.92
105,-18.14
107,-13.2
109,-13.26
111,-10.08
113,-19.07
115,-16.46
117,-18.57
119,-17.97
121,-9.62
123,-16.96
125,-13.02
127,-11.11
129,-19.27
131,-16.67
133,-14.93
135,-13.7
137,-12.88
139,-16.28
141,-15.62
143,-21.85
145,-13.98
147,-17.82
149,-14.08
151,-17.34
153,-17.59
155,-18.29
157,-16.57
159,-11.86
161,-11.8
163,-13.87
165,-6.95
167,-6.4
169,-14.42
171,-18.48
173,-11.56
175,-12.77
177,-14.7
179,-14.76
181,-14.53
183,-15.22
185,-14.58
187,-11.68
189,-9.87
191,-12.03
193,-15.18
195,-14.09
197,-14.76
199,-12.53
201,-16.36
203,-10.86
205,-8.76
207,-12.83
209,-12.15
211,-12.32
213,-12.54
215,-15.56
217,-12.99
219,-12.16
221,-15.84
223,-10.4
225,-11.02
227,-7.2
229,-10.4
231,-9.39
233,-4.03
235,-12.19
237,-9.4
239,-11.39
241,-10.7
243,-9.14
245,-11.68
247,-9.32
249,-2.38
251,-11.32
253,-12.43
255,-13.68
257,-12.79
259,-15.7
261,-14.56
263,-14.15
265,-8.46
267,-13.74
269,-15.99
271,-11.99
273,-9.05
275,-13.18
277,-13.28
279,-12.82
281,-12.35
283,-13.68
285,-15.52
287,-12.53
289,-9.77
291,-17.19
293,-15.05
295,-13.19
297,-12.29
299,-16.72
301,-16.49
303,-17.19
305,-15.52
307,-16.87
309,-16.11
311,-16.79
313,-13.34
315,-11.34
317,-13.72
319,-16.41
321,-12.9
323,-14.12
325,-11.55
327,-10.85
329,-13.9
331,-14.15
333,-8.22
335,-13.79
337,-13.42
339,-14.26
341,-14.71
343,-14.53
345,-14.67
347,-15.1
349,-14.05
351,-13.14
353,-10.84
355,-10.6
357,-8.41
359,-10.64
361,-8.43
363,-9.88
365,-14.1
367,-15.54
369,-17.73
371,-11.16
373,-13.02
375,-11.86
