Frames,TOTAL
1,164.89
4,139.78
7,134.35
10,50.28
13,57.31
16,43.87
19,54.87
22,41.58
25,50.44
28,42.93
31,38.77
34,41.43
37,61.14
40,62.52
43,47.83
46,53.48
49,45.12
52,27.76
55,55.7
58,41.97
61,49.17
64,62.42
67,50.88
70,38.77
73,62.03
76,45.53
79,45.94
82,52.51
85,56.4
88,49.49
91,49.24
94,64.26
97,47.03
100,54.61
103,48.26
106,58.59
109,53.82
112,52.52
115,49.71
118,58.54
121,64.32
124,40.77
127,70.43
130,66.07
133,82.71
136,79.75
139,77.19
142,70.73
145,50.39
148,59.95
151,49.67
154,66.3
157,72.53
160,57.42
163,58.05
166,58.74
169,58.92
172,55.02
175,53.9
178,54.28
181,46.93
184,53.13
187,51.82
190,49.95
193,60.11
196,64.92
199,64.22
202,86.98
205,62.45
208,54.78
211,52.84
214,64.45
217,52.63
220,51.09
223,59.33
226,43.57
229,56.19
232,48.43
235,45.96
238,50.72
241,69.05
244,73.16
247,88.84
250,68.75
253,54.4
256,38.5
259,36.79
262,36.65
265,49.92
268,49.97
271,40.73
274,48.92
277,49.85
280,51.73
283,47.23
286,44.62
289,54.04
292,45.08
295,47.59
298,42.81
301,54.66
304,53.78
307,57.8
310,51.75
313,83.72
316,56.61
319,42.53
322,49.63
325,59.94
328,42.48
331,43.62
334,43.49
337,50.04
340,53.03
343,44.89
346,46.05
349,49.57
352,53.55
355,51.61
358,48.68
361,50.31
364,54.04
367,53.35
370,56.63
373,51.42
376,42.51
379,43.67
382,57.69
385,62.81
388,75.32
391,50.19
394,45.65
397,47.2
400,57.02
403,46.83
406,54.83
409,49.67
412,38.06
415,47.77
418,37.09
421,43.64
424,49.81
427,31.71
430,42.88
433,41.53
436,30.91
439,44.71
442,42.28
445,40.97
448,44.23
451,43.43
454,49.48
457,52.66
460,37.3
463,47.69
466,44.25
469,37.98
472,43.3
475,46.54
478,39.01
481,51.29
484,47.38
487,36.04
490,43.14
493,41.87
496,46.27
499,46.15
502,33.17
505,52.05
508,46.39
511,47.89
514,35.87
517,44.49
520,29.88
523,51.76
526,37.47
529,32.14
532,48.49
535,43.75
538,44.19
541,44.98
544,42.98
547,42.75
550,33.45
553,38.97
556,29.64
559,35.21
562,38.43
565,34.95
568,32.15
571,42.8
574,32.9
577,41.43
580,33.75
583,38.18
586,52.95
589,52.64
592,50.75
595,45.55
598,52.57
601,39.33
604,46.75
607,43.62
610,59.2
613,54.72
616,61.79
619,42.63
622,53.9
625,54.39
628,40.2
631,40.56
634,52.99
637,47.82
640,37.42
643,45.34
646,48.85
649,59.21
652,46.64
655,55.01
658,64.16
661,49.33
664,56.07
667,58.76
670,69.3
673,64.89
676,42.08
679,48.47
682,55.66
685,46.8
688,37.38
691,56.94
694,47.6
697,42.75
700,60.0
703,39.42
706,44.63
709,46.61
712,54.17
715,80.12
718,50.56
721,55.53
724,83.42
727,69.34
730,51.3
733,48.22
736,57.47
739,45.16
742,44.58
745,48.81
748,66.03
751,45.58
754,69.68
757,44.57
760,46.76
763,55.7
766,61.41
769,56.68
772,50.93
775,53.22
778,48.15
781,42.63
784,43.57
787,48.05
790,47.37
793,45.24
796,39.53
799,53.07
802,48.29
805,44.09
808,44.12
811,38.9
814,44.87
817,40.34
820,42.78
823,54.09
826,56.1
829,52.07
832,65.96
835,43.52
838,57.09
841,40.13
844,52.65
847,40.94
850,53.94
853,43.61
856,43.13
859,45.01
862,49.25
865,39.3
868,44.11
871,47.5
874,47.39
877,37.47
880,51.38
883,45.4
886,46.5
889,42.57
892,41.27
895,40.04
898,41.66
901,46.64
904,69.55
907,34.23
910,46.1
913,48.38
916,53.6
919,41.95
922,64.98
925,47.23
928,48.14
931,32.87
934,43.7
937,43.43
940,42.99
943,51.18
946,41.3
949,44.62
952,51.38
955,43.73
958,42.51
961,39.95
964,62.0
967,51.04
970,47.31
973,43.65
976,66.38
979,52.2
982,64.84
985,63.26
988,58.34
991,49.0
994,62.89
997,53.67
1000,65.36
