Frames,TOTAL
1,57.73
4,101.24
7,97.14
10,90.0
13,81.84
16,82.74
19,82.63
22,76.04
25,66.15
28,80.27
31,78.71
34,72.35
37,98.13
40,92.94
43,24.23
46,20.84
49,12.36
52,15.67
55,22.24
58,29.41
61,45.28
64,12.38
67,29.91
70,10.75
73,24.28
76,15.38
79,27.0
82,5.65
85,27.15
88,34.83
91,19.38
94,5.48
97,43.11
100,29.88
103,10.39
106,15.52
109,22.89
112,24.93
115,9.89
118,7.65
121,21.01
124,18.6
127,10.55
130,13.39
133,18.16
136,5.39
139,4.61
142,18.56
145,17.75
148,39.51
151,12.16
154,27.32
157,14.32
160,33.08
163,13.14
166,24.98
169,15.6
172,24.99
175,17.45
178,11.43
181,12.54
184,39.94
187,10.09
190,4.07
193,-0.48
196,15.74
199,19.31
202,22.41
205,12.61
208,9.97
211,14.04
214,22.95
217,7.82
220,17.99
223,18.29
226,13.01
229,21.21
232,25.17
235,17.53
238,15.76
241,14.54
244,4.3
247,21.22
250,20.0
253,10.02
256,27.34
259,25.5
262,12.72
265,10.43
268,8.9
271,13.78
274,18.99
277,22.0
280,7.82
283,29.99
286,16.19
289,18.64
292,18.98
295,17.7
298,17.07
301,14.42
304,13.78
307,19.47
310,10.9
313,3.4
316,10.11
319,7.25
322,17.69
325,6.08
328,-2.33
331,19.13
334,16.13
337,24.19
340,21.04
343,9.26
346,14.37
349,17.52
352,3.35
355,20.97
358,7.96
361,16.88
364,1.71
367,15.88
370,16.93
373,8.1
376,9.48
379,7.23
382,10.79
385,17.35
388,17.71
391,24.02
394,21.55
397,13.32
400,17.15
403,16.67
406,21.68
409,12.96
412,38.96
415,7.68
418,16.16
421,21.33
424,18.61
427,5.12
430,24.86
433,34.75
436,11.16
439,15.99
442,28.91
445,13.87
448,16.92
451,17.02
454,19.26
457,16.63
460,6.84
463,25.26
466,13.36
469,30.54
472,20.9
475,13.38
478,12.95
481,19.55
484,28.25
487,13.01
490,17.24
493,9.96
496,8.67
499,24.38
502,10.49
505,33.63
508,24.09
511,39.77
514,12.42
517,19.19
520,25.41
523,19.6
526,12.19
529,19.97
532,19.98
535,20.71
538,32.0
541,18.57
544,11.52
547,18.59
550,10.9
553,22.31
556,25.1
559,17.49
562,13.51
565,28.11
568,13.14
571,9.26
574,29.22
577,22.08
580,24.35
583,23.79
586,10.39
589,12.24
592,28.55
595,20.43
598,29.5
601,23.56
604,19.91
607,22.78
610,28.86
613,41.42
616,27.86
619,19.28
622,25.93
625,21.3
628,5.92
631,6.05
634,11.59
637,19.38
640,18.74
643,23.49
646,22.07
649,30.7
652,33.15
655,40.86
658,24.81
661,26.65
664,19.93
667,22.17
670,16.75
673,14.18
676,20.84
679,15.09
682,30.08
685,19.91
688,27.17
691,18.8
694,20.08
697,32.65
700,12.26
703,21.91
706,13.87
709,20.36
712,14.59
715,22.42
718,8.45
721,45.93
724,27.09
727,16.96
730,16.08
733,22.83
736,-6.71
739,19.86
742,34.8
745,14.4
748,12.66
751,42.79
754,12.46
757,20.92
760,30.48
763,44.08
766,25.16
769,27.25
772,20.96
775,37.43
778,21.71
781,30.33
784,25.06
787,21.0
790,13.19
793,17.55
796,12.82
799,12.56
802,7.39
805,41.33
808,35.98
811,28.56
814,45.16
817,28.38
820,7.0
823,-1.61
826,3.31
829,8.32
832,7.57
835,6.84
838,11.94
841,4.72
844,8.26
847,10.3
850,5.81
853,9.19
856,2.42
859,2.04
862,2.87
865,11.56
868,8.08
871,10.66
874,10.26
877,4.5
880,8.82
883,3.71
886,10.87
889,6.32
892,-4.27
895,7.16
898,-0.01
901,10.78
904,4.39
907,13.29
910,10.93
913,7.4
916,6.99
919,13.11
922,12.72
925,21.4
928,6.26
931,25.46
934,27.71
937,33.22
940,32.33
943,11.44
946,-11.25
949,-25.54
952,-18.9
955,-17.12
958,-14.64
961,-12.96
964,-22.86
967,-9.39
970,-22.14
973,-14.43
976,-13.24
979,-16.65
982,-5.47
985,-22.02
988,-19.63
991,-4.82
994,-20.88
997,-8.35
1000,-18.57
