Frames,TOTAL
1,-21.91
3,-40.54
5,-34.04
7,-44.21
9,-39.5
11,-42.53
13,-28.31
15,-34.83
17,-34.65
19,-40.16
21,-43.48
23,-40.34
25,-37.13
27,-43.3
29,-39.9
31,-43.11
33,-42.04
35,-38.56
37,-37.58
39,-45.12
41,-42.03
43,-40.33
45,-37.72
47,-38.74
49,-41.09
51,-45.29
53,-44.32
55,-39.95
57,-44.39
59,-38.28
61,-34.87
63,-34.17
65,-35.31
67,-43.65
69,-39.51
71,-42.07
73,-43.82
75,-49.74
77,-45.2
79,-36.17
81,-40.64
83,-43.34
85,-40.75
87,-38.38
89,-34.57
91,-41.96
93,-40.49
95,-40.49
97,-42.08
99,-37.34
101,-39.17
103,-40.09
105,-46.06
107,-45.19
109,-41.33
111,-40.19
113,-41.18
115,-44.92
117,-39.94
119,-36.92
121,-45.29
123,-43.9
125,-43.21
127,-35.63
129,-38.26
131,-37.07
133,-37.54
135,-34.74
137,-31.13
139,-42.91
141,-40.49
143,-39.94
145,-38.06
147,-45.67
149,-42.73
151,-39.1
153,-40.13
155,-41.21
157,-37.97
159,-38.57
161,-36.19
163,-39.05
165,-38.05
167,-37.5
169,-39.9
171,-40.69
173,-33.76
175,-35.08
177,-38.84
179,-36.87
181,-38.47
183,-39.1
185,-42.51
187,-35.59
189,-47.52
191,-41.51
193,-39.61
195,-42.66
197,-45.26
199,-35.0
201,-39.11
203,-42.6
205,-40.31
207,-39.43
209,-43.7
211,-37.35
213,-40.87
215,-43.63
217,-45.66
219,-36.35
221,-36.85
223,-43.44
225,-43.96
227,-37.59
229,-30.09
231,-37.97
233,-46.95
235,-43.55
237,-36.19
239,-43.56
241,-40.48
243,-48.39
245,-39.79
247,-41.91
249,-35.31
251,-31.19
253,-41.47
255,-39.19
257,-41.39
259,-43.23
261,-39.05
263,-38.53
265,-33.62
267,-36.41
269,-47.33
271,-35.23
273,-43.88
275,-40.21
277,-32.67
279,-44.64
281,-44.02
283,-41.21
285,-38.03
287,-37.0
289,-43.85
291,-37.41
293,-38.17
295,-36.94
297,-49.42
299,-44.53
301,-40.96
303,-43.36
305,-41.2
307,-46.73
309,-47.64
311,-48.7
313,-43.31
315,-45.1
317,-42.44
319,-44.48
321,-50.09
323,-35.96
325,-37.02
327,-43.92
329,-33.59
331,-40.75
333,-44.8
335,-40.19
337,-40.84
339,-35.35
341,-43.56
343,-40.19
345,-50.09
347,-45.06
349,-46.03
351,-45.27
353,-41.06
355,-36.72
357,-39.6
359,-45.23
361,-46.52
363,-46.44
365,-48.08
367,-47.64
369,-39.88
371,-38.97
373,-43.56
375,-45.31
377,-39.04
379,-47.11
381,-44.04
383,-44.44
385,-41.4
387,-40.62
389,-45.0
391,-53.61
393,-41.47
395,-43.86
397,-46.79
399,-40.39
401,-46.63
403,-43.38
405,-43.54
407,-42.35
409,-42.34
411,-43.49
413,-45.55
415,-39.56
417,-41.07
419,-44.78
421,-45.97
423,-39.88
425,-41.7
427,-47.57
429,-39.62
431,-49.39
433,-37.54
435,-36.38
437,-48.48
439,-43.6
441,-38.08
443,-35.18
445,-48.03
447,-44.92
449,-45.69
451,-42.06
453,-41.16
455,-45.26
457,-43.75
459,-38.41
461,-42.36
463,-43.58
465,-40.18
467,-44.06
469,-38.62
471,-40.26
473,-45.9
475,-42.02
477,-45.17
479,-42.84
481,-40.75
483,-41.87
485,-33.23
487,-44.17
489,-43.66
491,-38.0
493,-41.54
495,-48.06
497,-45.45
499,-36.21
501,-36.5
503,-39.73
505,-34.49
507,-41.4
509,-41.21
511,-37.26
513,-39.62
515,-34.31
517,-35.17
519,-40.49
521,-41.06
523,-43.34
525,-32.43
527,-38.86
529,-43.07
531,-42.94
533,-47.49
535,-33.78
537,-37.24
539,-44.69
541,-43.21
543,-47.52
545,-47.45
547,-45.68
549,-41.8
551,-38.07
553,-42.65
555,-46.91
557,-47.78
559,-46.88
561,-40.43
563,-30.8
565,-44.14
567,-41.28
569,-42.24
571,-41.1
573,-44.21
575,-36.04
577,-43.5
579,-45.08
581,-41.53
583,-43.09
585,-40.44
587,-37.24
589,-46.37
591,-47.58
593,-40.22
595,-43.22
597,-47.77
599,-33.61
601,-37.84
603,-41.07
605,-41.73
607,-39.32
609,-45.09
611,-40.19
613,-41.7
615,-46.84
617,-45.52
619,-30.37
621,-45.14
623,-44.85
625,-46.11
627,-42.39
629,-33.58
631,-46.7
633,-44.96
635,-46.14
637,-38.51
639,-43.99
641,-43.43
643,-37.72
645,-36.01
647,-45.64
649,-43.34
651,-45.9
653,-45.5
655,-42.47
657,-42.06
659,-39.68
661,-46.62
663,-39.18
665,-39.43
667,-41.28
669,-46.1
671,-41.68
673,-44.01
675,-39.58
677,-37.3
679,-42.27
681,-42.58
683,-36.12
685,-37.42
687,-37.91
689,-39.45
691,-40.46
693,-39.46
