Frames,TOTAL
1,28.08
4,33.78
7,40.12
10,81.98
13,31.64
16,24.4
19,20.8
22,21.78
25,27.13
28,33.88
31,31.97
34,30.74
37,24.5
40,27.03
43,30.18
46,37.17
49,19.34
52,31.76
55,30.72
58,24.31
61,20.42
64,39.41
67,35.04
70,21.99
73,24.08
76,28.46
79,32.01
82,16.7
85,28.31
88,25.85
91,17.56
94,28.51
97,16.83
100,34.55
103,36.87
106,22.69
109,28.69
112,26.63
115,21.33
118,36.51
121,41.92
124,21.56
127,38.39
130,32.65
133,19.84
136,30.62
139,37.16
142,22.15
145,21.17
148,19.98
151,17.93
154,35.82
157,33.74
160,31.11
163,28.05
166,31.17
169,33.43
172,32.96
175,38.03
178,25.46
181,27.59
184,25.14
187,25.88
190,28.77
193,29.85
196,31.85
199,27.9
202,29.56
205,25.66
208,17.46
211,22.26
214,15.73
217,16.6
220,16.57
223,16.88
226,23.18
229,25.88
232,18.18
235,20.92
238,31.66
241,19.68
244,16.65
247,30.06
250,10.34
253,21.26
256,20.32
259,20.67
262,23.66
265,21.94
268,20.79
271,21.62
274,25.49
277,15.37
280,21.09
283,19.77
286,19.11
289,23.59
292,37.4
295,22.06
298,24.62
301,27.01
304,22.63
307,21.78
310,30.12
313,13.74
316,26.81
319,32.59
322,20.95
325,16.95
328,13.55
331,16.45
334,11.58
337,24.52
340,13.53
343,21.61
346,32.02
349,18.88
352,12.4
355,24.14
358,25.03
361,31.26
364,26.59
367,28.19
370,21.47
373,28.54
376,39.55
379,21.85
382,29.87
385,24.76
388,17.31
391,31.99
394,40.37
397,28.69
400,28.3
403,29.35
406,28.53
409,29.7
412,30.47
415,32.88
418,30.82
421,30.32
424,22.38
427,26.77
430,27.42
433,27.5
436,22.58
439,23.66
442,30.71
445,29.1
448,28.65
451,24.96
454,22.86
457,19.84
460,34.3
463,23.59
466,23.73
469,33.24
472,32.78
475,31.97
478,26.89
481,22.81
484,26.51
487,25.81
490,22.71
493,30.23
496,21.43
499,35.34
502,30.58
505,23.76
508,35.5
511,44.07
514,25.39
517,21.96
520,29.03
523,18.35
526,27.97
529,27.45
532,26.19
535,29.47
538,19.83
541,30.7
544,19.31
547,19.26
550,27.06
553,28.71
556,19.32
559,22.45
562,18.48
565,24.61
568,23.61
571,29.14
574,29.36
577,24.39
580,21.51
583,30.76
586,37.33
589,28.17
592,34.59
595,27.2
598,22.63
601,20.49
604,30.43
607,26.41
610,35.45
613,24.41
616,21.03
619,30.01
622,24.53
625,24.67
628,26.21
631,18.2
634,25.3
637,16.84
640,20.51
643,20.77
646,19.63
649,17.84
652,31.97
655,25.36
658,22.64
661,20.55
664,28.17
667,16.84
670,16.19
673,24.01
676,22.93
679,25.74
682,28.49
685,17.83
688,19.1
691,18.4
694,16.14
697,34.81
700,28.75
703,20.52
706,24.29
709,31.07
712,18.1
715,30.26
718,25.21
721,20.81
724,24.16
727,26.04
730,23.51
733,27.56
736,20.73
739,13.08
742,27.2
745,15.21
748,31.37
751,23.6
754,23.61
757,35.26
760,22.79
763,15.75
766,16.25
769,31.39
772,33.05
775,23.33
778,22.69
781,19.21
784,31.8
787,20.64
790,28.46
793,12.52
796,27.0
799,17.23
802,32.34
805,24.06
808,21.49
811,28.29
814,26.31
817,30.83
820,22.85
823,23.71
826,26.57
829,22.41
832,24.52
835,28.35
838,26.61
841,27.03
844,20.96
847,24.84
850,24.83
853,22.99
856,24.06
859,19.19
862,21.89
865,19.76
868,19.41
871,18.16
874,26.55
877,27.41
880,16.57
883,23.18
886,28.08
889,28.68
892,25.68
895,24.89
898,20.61
901,30.47
904,19.56
907,26.1
910,25.08
913,25.3
916,28.22
919,25.19
922,31.25
925,26.4
928,30.42
931,34.01
934,31.57
937,35.08
940,27.07
943,31.24
946,25.98
949,23.2
952,35.54
955,28.63
958,29.89
961,27.31
964,25.09
967,33.01
970,32.25
973,24.07
976,25.41
979,22.79
982,23.91
985,21.89
988,25.38
991,27.76
994,25.45
997,26.31
1000,24.68
