Frames,TOTAL
1,57.87
4,51.22
7,59.45
10,70.56
13,43.4
16,53.72
19,61.1
22,41.35
25,88.28
28,43.16
31,54.71
34,53.09
37,45.31
40,51.95
43,53.99
46,48.56
49,52.74
52,49.46
55,65.44
58,43.77
61,53.59
64,48.71
67,53.78
70,47.31
73,45.2
76,42.51
79,66.71
82,52.07
85,51.59
88,36.29
91,51.93
94,61.24
97,63.66
100,45.19
103,34.92
106,44.44
109,52.39
112,42.02
115,52.18
118,42.2
121,57.29
124,56.66
127,55.27
130,52.83
133,47.28
136,46.65
139,49.14
142,50.52
145,59.77
148,66.9
151,50.78
154,48.78
157,45.66
160,42.97
163,61.35
166,54.22
169,44.9
172,42.0
175,51.34
178,64.58
181,47.45
184,55.15
187,42.21
190,58.3
193,60.82
196,37.37
199,53.36
202,50.91
205,45.16
208,47.79
211,55.59
214,62.53
217,52.87
220,45.57
223,50.52
226,47.15
229,49.65
232,56.3
235,46.35
238,51.06
241,47.31
244,56.46
247,56.61
250,53.75
253,52.07
256,49.86
259,49.75
262,39.78
265,47.72
268,50.51
271,51.16
274,47.09
277,41.89
280,49.02
283,47.12
286,57.26
289,57.89
292,43.55
295,48.26
298,46.68
301,45.29
304,66.57
307,56.11
310,53.46
313,49.6
316,50.58
319,52.13
322,52.2
325,48.54
328,53.24
331,47.37
334,50.32
337,62.71
340,46.56
343,44.17
346,51.52
349,54.15
352,50.34
355,41.25
358,55.68
361,52.93
364,70.25
367,47.92
370,46.09
373,46.99
376,45.32
379,41.08
382,44.23
385,45.49
388,43.47
391,45.17
394,58.93
397,51.91
400,57.88
403,48.31
406,55.51
409,55.06
412,46.89
415,59.6
418,48.9
421,53.47
424,56.03
427,41.97
430,53.96
433,51.53
436,55.24
439,41.68
442,61.01
445,45.02
448,48.39
451,37.27
454,43.74
457,30.02
460,55.52
463,53.94
466,51.81
469,48.65
472,34.43
475,36.22
478,52.3
481,41.69
484,47.85
487,39.42
490,50.02
493,45.53
496,44.28
499,43.87
502,42.9
505,48.33
508,53.04
511,45.66
514,42.1
517,34.68
520,47.74
523,44.22
526,37.97
529,55.0
532,47.37
535,40.14
538,34.84
541,54.31
544,38.96
547,39.29
550,53.06
553,47.67
556,45.96
559,53.91
562,45.19
565,43.55
568,49.33
571,47.07
574,51.1
577,55.13
580,51.23
583,61.26
586,63.45
589,49.29
592,64.62
595,54.17
598,56.31
601,53.6
604,49.48
607,63.58
610,46.8
613,49.94
616,62.26
619,49.86
622,45.46
625,57.84
628,42.13
631,46.78
634,62.47
637,43.67
640,40.81
643,54.63
646,42.15
649,41.59
652,52.36
655,44.55
658,61.15
661,57.54
664,40.29
667,48.67
670,44.14
673,43.43
676,54.49
679,69.53
682,63.53
685,53.01
688,54.21
691,38.97
694,52.01
697,36.25
700,47.88
703,45.22
706,39.54
709,37.71
712,53.24
715,55.85
718,43.08
721,48.36
724,48.86
727,55.88
730,51.34
733,48.61
736,53.35
739,45.88
742,54.21
745,56.58
748,65.36
751,41.46
754,45.63
757,38.26
760,56.31
763,38.71
766,38.85
769,48.04
772,40.43
775,43.36
778,42.26
781,50.28
784,48.09
787,40.45
790,45.29
793,48.19
796,51.34
799,46.72
802,39.14
805,46.06
808,44.47
811,44.65
814,31.9
817,46.05
820,45.85
823,49.0
826,48.71
829,41.34
832,46.21
835,42.32
838,51.34
841,44.63
844,47.68
847,49.97
850,41.05
853,42.25
856,44.67
859,40.67
862,47.58
865,48.09
868,47.14
871,40.13
874,55.55
877,61.02
880,48.26
883,66.23
886,50.05
889,46.27
892,62.51
895,42.41
898,44.24
901,49.55
904,48.52
907,51.41
910,48.12
913,47.75
916,48.23
919,51.85
922,50.58
925,47.5
928,44.08
931,45.63
934,45.69
937,46.28
940,57.99
943,49.28
946,56.64
949,55.73
952,50.03
955,55.44
958,41.69
961,52.53
964,55.35
967,54.76
970,57.92
973,57.69
976,47.6
979,39.7
982,48.94
985,52.6
988,56.47
991,47.38
994,40.73
997,45.4
1000,47.78
