Frames,TOTAL
1,-18.02
3,-15.12
5,-8.99
7,-14.36
9,-14.25
11,-14.52
13,-11.43
15,-18.58
17,-11.58
19,-15.02
21,-16.84
23,-13.42
25,-16.66
27,-14.04
29,-15.58
31,-13.92
33,-12.86
35,-18.14
37,-19.45
39,-15.64
41,-19.49
43,-19.14
45,-17.26
47,-15.1
49,-13.31
51,-18.27
53,-17.96
55,-9.49
57,-18.47
59,-23.91
61,-12.54
63,-20.06
65,-17.61
67,-22.73
69,-15.52
71,-22.07
73,-18.67
75,-17.83
77,-21.86
79,-12.83
81,-19.5
83,-13.82
85,-17.36
87,-22.4
89,-19.44
91,-17.97
93,-15.13
95,-20.94
97,-17.18
99,-18.85
101,-10.75
103,-12.67
105,-11.92
107,-14.78
109,-13.25
111,-21.53
113,-16.82
115,-11.19
117,-13.67
119,-15.98
121,-15.24
123,-21.45
125,-13.52
127,-15.68
129,-19.49
131,-12.47
133,-13.46
135,-13.72
137,-16.93
139,-16.37
141,-14.92
143,-18.95
145,-13.26
147,-18.2
149,-18.71
151,-14.37
153,-14.1
155,-15.48
157,-12.27
159,-12.44
161,-11.82
163,-20.82
165,-16.6
167,-9.18
169,-12.54
171,-17.92
173,-15.44
175,-15.14
177,-10.96
179,-13.97
181,-12.84
183,-17.49
185,-11.51
187,-11.6
189,-12.94
191,-12.55
193,-18.11
195,-9.58
197,-13.38
199,-16.72
201,-18.53
203,-19.78
205,-12.83
207,-13.66
209,-14.01
211,-15.06
213,-17.61
215,-18.87
217,-21.73
219,-17.03
221,-20.7
223,-17.47
225,-17.78
227,-22.85
229,-18.34
231,-22.06
233,-18.97
235,-14.7
237,-15.64
239,-20.36
241,-13.28
243,-18.58
245,-16.84
247,-18.44
249,-19.56
251,-19.76
253,-16.22
255,-20.13
257,-20.8
259,-21.21
261,-21.21
263,-20.17
265,-16.99
267,-18.18
269,-21.42
271,-21.21
273,-19.81
275,-14.36
277,-22.27
279,-21.63
281,-14.08
283,-11.81
285,-19.35
287,-13.51
289,-17.86
291,-13.97
293,-21.51
295,-18.21
297,-16.38
299,-15.38
301,-11.81
303,-22.62
305,-8.01
307,-11.15
309,-14.23
311,-13.26
313,-7.7
315,-13.55
317,-15.15
319,-16.37
321,-10.08
323,-15.59
325,-15.15
327,-14.51
329,-8.81
331,-16.47
333,-10.2
335,-11.2
337,-15.16
339,-7.07
341,-11.24
343,-16.39
345,-14.19
347,-20.27
349,-18.78
351,-18.66
353,-20.45
355,-22.49
357,-15.27
359,-20.71
361,-21.51
363,-19.3
365,-14.12
367,-18.49
369,-19.37
371,-17.23
373,-18.38
375,-19.83
377,-21.1
379,-14.45
381,-17.06
383,-14.96
385,-13.72
387,-16.69
389,-19.98
391,-18.61
393,-18.3
395,-17.61
397,-17.44
399,-17.47
401,-13.75
403,-17.18
405,-17.1
