Frames,TOTAL
1,-15.37
3,-16.99
5,-11.75
7,-9.42
9,-14.16
11,-18.58
13,-23.72
15,-21.16
17,-18.44
19,-13.36
21,-19.13
23,-18.79
25,-15.88
27,-21.55
29,-22.62
31,-16.89
33,-21.29
35,-22.41
37,-20.28
39,-24.36
41,-16.41
43,-17.34
45,-19.89
47,-18.42
49,-15.74
51,-20.71
53,-19.26
55,-19.1
57,-21.68
59,-16.72
61,-20.96
63,-14.81
65,-15.13
67,-12.06
69,-16.09
71,-10.2
73,-17.29
75,-6.6
77,-12.34
79,-12.55
81,-14.56
83,-19.06
85,-15.43
87,-19.08
89,-18.85
91,-25.43
93,-18.35
95,-15.77
97,-18.07
99,-11.14
101,-18.47
103,-15.25
105,-17.14
107,-19.27
109,-21.06
111,-18.46
113,-21.09
115,-9.69
117,-8.75
119,-21.04
121,-24.31
123,-21.71
125,-20.13
127,-16.07
129,-19.26
131,-17.34
133,-15.01
135,-15.81
137,-12.61
139,-7.62
141,-15.44
143,-10.07
145,-15.57
147,-17.1
149,-8.75
151,-9.13
153,-18.39
155,-16.68
157,-14.32
159,-15.33
161,-11.71
163,-6.17
165,-7.27
167,-22.47
169,-17.05
171,-12.86
173,-14.76
175,-10.12
177,-17.09
179,-19.99
181,-13.97
183,-16.23
185,-18.3
187,-12.75
189,-8.07
191,-15.47
193,-8.94
195,-12.63
197,-20.49
199,-0.26
201,-9.8
203,-11.96
205,-12.67
207,-8.43
209,-13.75
211,-17.73
213,-20.97
215,-17.31
217,-14.48
219,-16.49
221,-12.97
223,-19.11
225,-17.45
227,-22.5
229,-22.75
231,-24.96
233,-16.69
235,-15.88
237,-19.78
239,-17.38
241,-21.08
243,-15.74
245,-21.23
247,-22.5
249,-20.53
251,-17.53
253,-19.58
255,-16.05
257,-18.98
259,-14.55
261,-22.43
263,-13.77
265,-18.23
267,-16.88
269,-15.95
271,-22.91
273,-22.42
275,-21.11
277,-7.38
279,-10.62
281,-18.43
283,-16.97
285,-18.27
287,-8.47
289,-17.98
291,-21.01
293,-13.48
295,-12.19
297,-11.01
299,-19.42
301,-19.71
303,-14.27
305,-19.55
307,-13.22
309,-15.05
311,-14.3
313,-11.21
315,-15.7
317,-15.51
319,-17.42
321,-18.72
323,-13.15
325,-21.47
327,-14.38
329,-21.72
331,-12.6
333,-13.21
335,-13.43
337,-14.45
339,-10.84
341,-16.49
343,-13.89
345,-24.03
347,-24.72
349,-20.85
351,-11.46
353,-12.82
355,-16.54
357,-8.31
359,-9.71
361,-19.62
363,-4.36
365,-10.41
367,-1.83
369,0.06
371,5.18
373,-6.92
375,-9.35
377,-4.04
379,-10.87
381,-10.73
383,-19.74
385,-16.72
387,-11.18
389,-15.55
391,-13.39
393,-10.64
395,-8.94
397,-12.78
399,-11.53
401,-12.8
403,-6.2
405,-9.75
407,-12.62
409,-15.28
411,-14.33
413,-18.03
415,-17.83
417,-17.83
419,-18.67
421,-11.81
423,-15.89
425,-3.85
427,-17.45
429,-16.77
431,-18.31
433,-16.96
435,-14.92
437,-19.54
439,-12.36
441,-12.69
443,-12.3
445,-10.51
447,-19.24
449,-20.83
451,-13.38
453,-12.84
455,-12.18
457,-15.08
459,-22.58
461,-15.51
463,-18.93
465,-16.55
467,-19.49
469,-8.19
471,-15.56
473,-18.71
475,-9.98
477,-17.26
479,-17.43
481,-17.86
483,-13.55
485,-12.31
487,-19.25
489,-12.6
491,-18.91
493,-13.94
495,-14.97
497,-17.2
499,-27.3
501,-7.85
503,-8.03
505,-15.32
507,-22.36
509,-16.79
511,-10.67
513,-8.06
515,-18.9
517,-11.28
519,-11.87
521,-22.83
523,-16.71
525,-24.2
527,-15.29
529,-17.2
531,-12.27
533,-16.67
535,-15.28
537,-17.4
539,-3.48
541,-15.11
543,-18.84
545,-23.47
547,-18.5
549,-14.96
551,-17.43
553,-18.85
555,-16.05
557,-16.69
559,-17.56
561,-15.26
563,-16.46
565,-11.05
567,-17.81
569,-15.51
571,-18.41
573,-9.25
575,-23.35
577,-14.13
579,-11.68
581,-18.72
583,-19.2
585,-11.48
587,-20.48
589,-10.9
591,-11.8
593,-25.56
595,-16.64
597,-8.55
599,-16.84
601,-16.46
603,-12.03
605,-17.39
607,-17.32
609,-13.84
611,-12.73
613,-16.26
615,-16.15
617,-17.66
619,-14.92
621,-23.92
623,-13.36
625,-19.27
627,-14.38
629,-15.17
631,-9.03
633,-18.81
635,-15.47
637,-18.02
639,-18.84
641,-17.98
643,-20.86
645,-14.36
647,-14.75
649,-14.57
651,-7.03
653,-12.99
655,-10.58
657,-16.98
659,-13.22
661,-15.17
663,-14.59
665,-15.29
667,-15.97
669,-14.82
671,-14.98
673,-14.87
675,-17.6
677,-18.93
679,-15.17
681,-10.89
683,-15.4
685,-15.37
687,-15.35
689,-16.75
691,-10.6
693,-18.0
695,-19.51
697,-15.28
699,-22.66
701,-22.89
703,-21.76
705,-13.84
707,-12.17
709,-13.42
711,-20.28
713,-11.47
715,-15.0
717,-13.1
719,-10.6
721,-6.88
723,-18.52
725,-11.53
727,-15.01
729,-16.28
731,-22.33
733,-14.0
735,-13.19
737,-13.8
739,-17.45
741,-11.2
743,-11.9
745,-9.66
747,-13.73
749,-10.74
751,-16.18
753,-17.87
755,-13.57
757,-9.27
759,-13.81
761,-9.91
763,-13.03
765,-9.48
767,-14.07
769,-17.4
771,-14.8
773,-13.73
775,-11.79
777,-13.63
779,-21.5
781,-21.48
783,-12.66
785,-9.73
787,-12.98
789,-17.68
791,-15.0
793,-11.99
795,-11.93
797,-16.25
799,-17.35
801,-11.37
803,-15.18
805,-18.94
807,-13.08
809,-13.98
811,-15.08
813,-9.65
815,-15.6
817,-14.48
819,-15.61
821,-14.81
823,-13.72
825,-17.54
827,-19.38
829,-12.9
831,-14.81
833,-12.41
835,-15.35
837,-15.22
839,-13.99
841,-7.31
843,-13.17
845,-8.16
847,-16.23
849,-13.34
851,-9.12
853,-15.51
855,-17.49
857,-16.11
859,-22.72
861,-14.49
863,-13.26
865,-16.03
867,-12.41
869,-17.79
871,-16.8
873,-7.89
875,-15.91
877,-15.66
879,-11.6
881,-7.52
883,-15.24
885,-17.38
887,-13.38
889,-10.46
891,-16.3
893,-4.78
895,-8.67
897,-9.25
899,-14.36
901,-12.79
903,-19.2
905,-10.96
907,-11.96
909,-10.61
911,-13.11
913,-10.34
915,-8.12
917,-13.79
919,-9.91
921,-19.03
923,-12.44
925,-11.29
927,-12.17
929,-13.63
931,-10.27
933,-17.69
935,-16.03
937,-12.87
939,-11.92
941,-18.08
943,-15.29
945,-6.1
947,-17.33
949,-7.76
951,-12.78
953,-14.66
955,-14.05
957,-13.53
959,-8.62
961,-18.41
963,-17.35
965,-5.2
967,-16.96
969,-14.64
971,-11.78
973,-15.27
975,-18.23
977,-6.21
979,-16.74
981,-14.14
983,-17.82
985,-18.07
987,-17.5
989,-16.36
991,-16.57
993,-14.65
995,-12.2
997,-8.4
999,-17.69
1001,-16.68
