Frames,TOTAL
1,128.05
4,115.03
7,124.38
10,125.57
13,129.87
16,131.94
19,98.03
22,122.52
25,121.95
28,136.15
31,121.07
34,122.68
37,129.79
40,129.99
43,119.03
46,128.07
49,120.85
52,134.36
55,47.23
58,61.6
61,65.22
64,42.07
67,34.4
70,34.97
73,39.77
76,37.26
79,26.9
82,58.93
85,37.6
88,40.69
91,66.75
94,50.1
97,44.55
100,42.43
103,41.67
106,37.84
109,37.87
112,55.31
115,48.38
118,40.17
121,44.17
124,35.44
127,49.65
130,47.78
133,88.18
136,29.54
139,49.24
142,65.19
145,29.11
148,34.55
151,41.05
154,63.05
157,27.05
160,35.42
163,20.89
166,35.9
169,49.68
172,51.45
175,49.03
178,39.15
181,52.53
184,33.35
187,38.23
190,45.4
193,27.43
196,43.73
199,38.72
202,36.1
205,42.27
208,50.72
211,45.81
214,28.51
217,31.94
220,38.69
223,49.78
226,44.54
229,30.46
232,37.58
235,35.23
238,27.55
241,44.74
244,51.46
247,32.07
250,47.52
253,43.35
256,41.27
259,43.29
262,42.71
265,42.34
268,32.01
271,36.43
274,51.58
277,50.37
280,46.41
283,34.03
286,27.59
289,31.55
292,57.36
295,57.33
298,45.66
301,43.48
304,48.05
307,32.92
310,41.67
313,53.14
316,34.77
319,48.42
322,28.42
325,36.24
328,29.27
331,41.66
334,44.53
337,38.98
340,46.5
343,34.59
346,35.06
349,36.87
352,45.72
355,39.03
358,42.52
361,38.26
364,47.67
367,43.97
370,41.95
373,36.78
376,39.24
379,40.08
382,34.92
385,40.74
388,37.77
391,31.06
394,45.02
397,42.54
400,44.04
403,42.63
406,35.3
409,32.59
412,41.21
415,43.05
418,36.34
421,26.96
424,38.1
427,32.53
430,37.96
433,47.95
436,29.51
439,44.42
442,23.23
445,38.9
448,37.95
451,34.68
454,41.99
457,45.43
460,27.36
463,45.25
466,28.37
469,42.42
472,33.39
475,40.85
478,30.93
481,34.02
484,36.63
487,41.81
490,39.75
493,51.36
496,25.95
499,36.22
502,38.23
505,44.12
508,45.6
511,30.33
514,41.51
517,52.01
520,45.15
523,51.15
526,54.19
529,43.76
532,41.47
535,40.66
538,40.95
541,45.68
544,40.34
547,52.67
550,31.96
553,40.51
556,40.41
559,31.43
562,50.18
565,53.49
568,32.97
571,30.07
574,55.75
577,35.74
580,46.51
583,44.87
586,39.07
589,43.43
592,40.38
595,30.78
598,54.01
601,52.84
604,44.51
607,49.72
610,41.21
613,48.48
616,46.99
619,29.91
622,35.36
625,32.54
628,67.6
631,47.74
634,53.12
637,55.05
640,43.97
643,30.89
646,60.17
649,64.54
652,66.1
655,45.15
658,33.5
661,28.46
664,61.4
667,55.76
670,31.91
673,50.63
676,59.22
679,49.5
682,45.9
685,82.14
688,33.4
691,40.79
694,39.37
697,50.28
700,38.91
703,55.34
706,39.75
709,41.17
712,47.26
715,63.13
718,34.3
721,43.72
724,39.58
727,27.52
730,23.49
733,38.71
736,52.52
739,40.54
742,45.19
745,46.08
748,42.78
751,35.06
754,30.63
757,42.23
760,40.64
763,29.58
766,37.08
769,31.35
772,35.11
775,39.09
778,45.36
781,35.92
784,40.54
787,41.2
790,38.77
793,37.96
796,39.31
799,45.32
802,50.51
805,37.82
808,43.42
811,55.5
814,52.48
817,43.72
820,60.65
823,46.83
826,51.53
829,53.18
832,42.36
835,34.91
838,41.78
841,42.96
844,34.82
847,34.92
850,40.73
853,40.53
856,40.65
859,40.25
862,53.23
865,40.89
868,23.32
871,38.56
874,57.27
877,35.44
880,25.25
883,35.8
886,38.27
889,41.03
892,43.76
895,40.11
898,30.73
901,44.57
904,44.14
907,35.52
910,39.7
913,35.95
916,39.59
919,48.22
922,27.25
925,43.35
928,50.56
931,42.74
934,39.86
937,36.7
940,41.25
943,37.05
946,41.29
949,35.05
952,44.9
955,38.93
958,50.07
961,43.03
964,50.78
967,42.78
970,27.83
973,28.29
976,31.06
979,48.73
982,63.29
985,74.48
988,60.34
991,23.33
994,34.63
997,19.47
1000,30.44
