Frames,TOTAL
1,7.1
3,-13.66
5,-13.78
7,-5.5
9,-10.68
11,-12.5
13,-3.4
15,-7.39
17,-6.44
19,-6.58
21,-7.12
23,-2.94
25,-6.91
27,-9.02
29,-13.64
31,-7.84
33,5.75
35,-7.0
37,-9.99
39,-17.42
41,-11.51
43,-16.93
45,-10.13
47,-11.5
49,-10.49
51,-16.62
53,-18.12
55,-22.24
57,-15.72
59,-15.36
61,-18.48
63,-19.39
65,-9.25
67,-1.53
69,-7.06
71,-9.84
73,-15.75
75,-15.59
77,-10.12
79,-7.84
81,-7.03
83,-3.87
85,-8.86
87,-14.46
89,-11.32
91,-11.11
93,-10.74
95,-13.11
97,-9.71
99,-14.18
101,-7.28
103,-6.13
105,-10.46
107,-6.13
109,-10.19
111,-8.42
113,-0.45
115,-13.27
117,-11.8
119,-20.61
121,-13.22
123,-16.98
125,-13.04
127,-12.89
129,-6.17
131,-2.69
133,-11.97
135,-18.05
137,-15.14
139,-18.25
141,-14.25
143,-8.57
145,-17.06
147,-18.62
149,-21.48
151,-16.67
153,-21.02
155,-14.6
157,-14.61
159,-14.28
161,-19.68
163,-11.41
165,-13.13
167,-18.36
169,-10.95
171,-19.46
173,-14.55
175,-20.17
177,-17.19
179,-16.98
181,-17.76
183,-10.72
185,-12.75
187,-18.99
189,-12.6
191,-17.52
193,-15.47
195,-17.84
197,-20.06
199,-13.5
201,-22.31
203,-9.92
205,-17.45
207,-8.21
209,-13.55
211,-16.27
213,-4.96
215,-10.98
217,-4.68
219,-5.59
221,-8.85
223,-4.47
225,-11.15
227,-6.03
229,-0.74
231,-17.22
233,-16.64
235,-2.67
237,-11.48
239,-7.61
241,-12.2
243,-18.17
245,-13.1
247,-11.79
249,-10.41
251,-13.77
253,-10.82
255,-9.04
257,-16.0
259,-7.76
261,-5.6
263,-3.69
265,-7.64
267,-10.14
269,-10.08
271,-5.65
273,2.35
275,-16.24
277,-11.35
279,-11.52
281,-0.19
283,-11.93
285,-11.39
287,-12.28
289,-8.11
291,-14.07
293,-6.52
295,-8.85
297,-14.12
299,-12.15
301,-11.04
303,-8.47
305,-15.16
307,-12.83
309,-17.36
311,-13.14
313,-10.12
315,-19.09
317,-6.23
319,-11.95
321,-21.02
323,-7.64
325,-14.32
327,-11.05
329,-6.23
331,-16.08
333,-13.98
335,7.41
337,-16.04
339,-18.81
341,-15.29
343,-12.7
345,-17.76
347,-5.01
349,-8.74
351,-5.76
353,-10.94
355,6.04
357,-3.78
359,-4.7
361,0.53
363,-4.71
365,14.74
367,-15.06
369,-9.02
371,-12.85
373,-13.99
375,-12.26
377,-11.26
379,-18.7
381,-20.04
383,-14.19
385,-15.2
387,-10.96
389,-17.53
391,-10.88
393,-11.14
395,-15.42
397,-3.62
399,-4.09
401,-10.68
403,-9.47
405,-12.76
407,-15.26
409,-9.36
411,-5.15
413,-6.89
415,-11.85
417,4.61
419,7.36
421,-14.52
423,-11.34
425,-3.44
427,-10.35
429,-3.82
431,-6.97
433,-4.78
435,-7.38
437,-9.75
439,-10.5
441,0.72
443,-11.01
445,-14.95
447,-19.65
449,-18.32
451,-14.25
453,-4.88
455,-4.65
457,-16.87
459,-13.85
461,-14.17
463,-13.28
465,-6.98
467,-12.84
469,-7.82
471,-13.1
473,-4.02
475,-13.78
477,-7.34
479,-3.31
481,-16.73
483,-13.91
485,-8.01
487,-5.77
489,-11.95
491,-6.94
493,-8.4
495,-15.07
497,-13.02
499,-9.53
501,-16.41
503,-13.21
505,-8.94
507,-18.22
509,-6.86
511,-16.37
513,-9.29
515,-15.05
517,-13.84
519,-9.99
521,-19.49
523,-16.95
525,-11.57
527,-14.99
529,-1.22
531,-9.15
533,-14.18
535,-5.21
537,1.48
539,-12.48
541,-12.76
543,-4.42
545,-7.03
547,-7.73
549,-5.78
551,-4.67
553,-10.62
555,-5.89
557,-19.12
559,-21.98
561,-14.72
563,-0.57
565,-4.04
567,-5.44
569,-10.81
571,-12.49
573,-16.13
575,-9.22
577,-4.3
579,-9.11
581,-13.59
583,-14.75
585,-12.02
587,-12.31
589,-10.8
591,-8.83
593,-13.48
595,-11.43
597,-9.29
599,-9.18
601,-15.72
603,-10.13
605,-11.31
607,-8.36
609,-4.39
611,-8.68
613,-11.94
615,-8.28
617,-10.54
619,-9.82
621,-5.02
623,-12.51
625,-9.6
627,-14.49
629,-4.84
631,-10.75
633,-15.88
635,-6.15
637,-4.48
639,-10.89
641,-12.05
643,-2.24
645,3.58
647,-11.63
649,6.36
651,-4.41
653,-9.39
655,-5.03
657,-2.66
659,1.4
661,-8.27
663,-5.68
665,-3.19
667,-6.1
669,-11.96
671,-5.99
673,-9.95
675,-8.75
677,-4.77
679,-14.53
681,-9.37
683,-11.53
685,-16.74
687,-17.22
689,-18.73
691,-18.9
693,-10.62
695,-12.33
697,-2.51
699,-6.73
701,-7.42
