Frames,TOTAL
1,71.46
4,54.14
7,40.19
10,43.39
13,32.98
16,34.28
19,37.62
22,36.17
25,35.38
28,31.21
31,34.97
34,31.57
37,31.71
40,42.99
43,31.83
46,38.55
49,33.44
52,33.31
55,33.63
58,32.63
61,34.59
64,31.43
67,27.46
70,25.48
73,34.37
76,26.43
79,16.0
82,37.6
85,32.57
88,31.78
91,31.59
94,26.64
97,35.68
100,26.13
103,27.8
106,32.78
109,33.09
112,33.54
115,29.91
118,35.63
121,34.86
124,22.67
127,40.54
130,41.18
133,28.38
136,31.94
139,33.34
142,25.94
145,29.22
148,28.36
151,27.29
154,38.04
157,37.23
160,27.56
163,34.46
166,32.39
169,30.85
172,33.01
175,35.07
178,38.13
181,33.54
184,36.03
187,28.82
190,22.36
193,31.35
196,36.08
199,31.89
202,26.29
205,30.3
208,38.84
211,30.95
214,29.77
217,32.43
220,30.06
223,28.55
226,35.83
229,28.5
232,31.5
235,33.17
238,36.01
241,32.53
244,22.85
247,22.87
250,32.44
253,35.21
256,33.01
259,28.54
262,30.56
265,41.54
268,39.5
271,37.93
274,34.7
277,35.62
280,38.55
283,34.97
286,38.98
289,31.25
292,32.39
295,27.82
298,29.09
301,31.09
304,26.98
307,22.79
310,26.99
313,33.43
316,21.04
319,34.68
322,33.17
325,35.48
328,33.07
331,31.07
334,26.99
337,24.25
340,29.37
343,27.57
346,29.49
349,30.11
352,32.78
355,31.06
358,26.98
361,17.1
364,27.08
367,30.15
370,26.94
373,34.19
376,25.06
379,25.63
382,20.91
385,26.51
388,25.5
391,38.61
394,36.92
397,30.06
400,26.42
403,30.53
406,39.81
409,30.68
412,31.64
415,36.52
418,28.3
421,12.87
424,35.11
427,35.83
430,21.58
433,29.84
436,41.27
439,29.48
442,31.65
445,26.78
448,25.08
451,30.69
454,40.36
457,25.78
460,24.5
463,26.8
466,22.66
469,29.85
472,34.46
475,41.68
478,31.91
481,38.0
484,30.17
487,36.07
490,40.23
493,33.03
496,22.18
499,36.19
502,25.18
505,38.74
508,32.82
511,37.36
514,38.78
517,34.38
520,33.28
523,39.19
526,41.25
529,32.02
532,36.71
535,33.36
538,38.05
541,26.38
544,25.44
547,24.79
550,35.34
553,34.45
556,27.17
559,23.12
562,31.22
565,45.93
568,29.34
571,28.57
574,27.31
577,37.7
580,41.17
583,28.33
586,27.28
589,37.29
592,34.74
595,20.6
598,22.92
601,26.06
604,23.21
607,21.58
610,36.41
613,29.13
616,31.0
619,29.18
622,32.01
625,40.37
628,36.89
631,33.84
634,25.44
637,36.66
640,30.58
643,36.37
646,37.21
649,34.2
652,33.99
655,23.6
658,35.05
661,24.24
664,31.1
667,28.82
670,33.75
673,27.13
676,31.77
679,33.89
682,26.58
685,39.37
688,21.05
691,26.57
694,42.04
697,34.86
700,26.08
703,31.97
706,27.45
709,27.71
712,30.25
715,23.89
718,30.48
721,37.52
724,29.62
727,39.16
730,35.3
733,21.34
736,28.93
739,24.4
742,31.72
745,28.23
748,32.02
751,27.5
754,30.07
757,29.5
760,35.15
763,22.91
766,24.58
769,25.81
772,30.62
775,23.26
778,27.4
781,33.35
784,26.23
787,28.43
790,25.15
793,25.59
796,31.52
799,29.67
802,26.13
805,19.81
808,33.92
811,34.97
814,42.01
817,39.28
820,25.81
823,33.04
826,28.06
829,32.41
832,29.74
835,25.63
838,25.56
841,26.42
844,32.42
847,31.86
850,43.6
853,33.32
856,26.99
859,37.17
862,45.37
865,37.51
868,42.44
871,40.18
874,38.01
877,34.26
880,31.74
883,28.0
886,51.61
889,30.42
892,33.45
895,33.59
898,32.09
901,35.65
904,38.71
907,32.8
910,30.53
913,31.32
916,39.04
919,32.19
922,43.5
925,36.42
928,39.26
931,35.78
934,28.59
937,35.17
940,36.26
943,32.34
946,15.59
949,36.68
952,32.56
955,34.25
958,31.09
961,30.07
964,32.19
967,29.06
970,32.76
973,33.43
976,22.05
979,28.47
982,37.63
985,33.46
988,18.8
991,41.24
994,43.79
997,37.65
1000,33.76
