Frames,TOTAL
1,-21.07
3,-32.42
5,-30.79
7,-23.02
9,-18.49
11,-23.02
13,-14.38
15,-23.8
17,-25.54
19,-26.51
21,-27.94
23,-18.72
25,-27.41
27,-28.39
29,-28.66
31,-19.28
33,-14.72
35,-18.24
37,-22.44
39,-15.47
41,-24.05
43,-22.82
45,-10.3
47,-12.43
49,-18.59
51,-25.23
53,-24.37
55,-24.09
57,-21.52
59,-15.39
61,-18.67
63,-14.45
65,-16.56
67,-26.38
69,-22.59
71,-20.76
73,-13.97
75,-16.04
77,-19.68
79,-14.83
81,-16.08
83,-16.0
85,-15.58
87,-19.27
89,-18.09
91,-12.5
93,-19.1
95,-14.14
97,-13.74
99,-14.6
101,-16.39
103,-15.57
105,-13.73
107,-24.42
109,-24.2
111,-20.29
113,-22.16
115,-23.28
117,-21.57
119,-24.76
121,-27.82
123,-26.61
125,-20.19
127,-26.74
129,-29.76
131,-28.64
133,-23.52
135,-27.4
137,-23.45
139,-18.21
141,-19.57
143,-18.07
145,-29.6
147,-29.76
149,-26.85
151,-27.17
153,-24.85
155,-21.42
157,-32.02
159,-25.11
161,-25.75
163,-23.35
165,-22.09
167,-21.33
169,-13.66
171,-20.33
173,-16.15
175,-11.15
177,-10.68
179,-10.77
181,-8.6
183,-13.84
185,-15.42
187,-17.65
189,-17.69
191,-18.71
193,-16.93
195,-12.27
197,-18.8
199,-16.63
201,-17.48
203,-12.88
205,-16.55
207,-10.31
209,-13.77
211,-12.22
213,-11.75
215,-14.31
217,-27.79
219,-22.33
221,-25.26
223,-19.98
225,-20.2
227,-21.1
229,-28.08
231,-26.76
233,-20.04
235,-26.49
237,-23.35
239,-21.75
241,-15.97
243,-19.24
245,-22.46
247,-21.8
249,-17.83
251,-22.86
253,-26.5
255,-16.74
257,-18.69
259,-20.85
261,-19.66
263,-22.49
265,-20.42
267,-24.28
269,-27.84
271,-24.58
273,-17.22
275,-19.51
277,-20.78
279,-19.95
281,-27.6
283,-26.17
285,-17.92
287,-20.81
289,-17.55
291,-21.95
293,-29.0
295,-28.5
297,-22.62
299,-19.93
301,-24.42
303,-18.88
305,-25.95
307,-25.01
309,-20.91
311,-20.43
313,-29.53
315,-18.87
317,-21.2
319,-24.01
321,-20.19
323,-23.62
325,-30.35
327,-24.79
329,-21.73
331,-29.76
333,-25.48
335,-20.72
337,-16.37
339,-24.39
341,-19.26
343,-21.39
345,-23.63
347,-19.75
349,-16.59
351,-17.64
353,-20.94
355,-18.37
357,-19.91
359,-23.4
361,-18.45
363,-23.44
365,-25.05
367,-24.67
369,-22.36
371,-19.46
373,-18.29
375,-28.0
377,-27.48
379,-19.85
381,-25.76
383,-26.39
385,-19.13
387,-20.47
389,-27.16
391,-21.63
393,-32.09
395,-17.89
397,-21.3
399,-25.52
401,-27.42
403,-25.72
405,-21.23
407,-25.55
409,-25.14
411,-22.36
413,-34.82
415,-30.25
417,-19.2
419,-25.96
421,-23.66
423,-23.74
425,-22.94
427,-24.38
429,-18.07
431,-23.19
433,-19.14
435,-24.67
437,-21.78
439,-23.25
441,-27.85
443,-20.78
445,-25.99
447,-16.04
449,-19.57
451,-24.83
453,-32.05
455,-27.61
457,-19.4
459,-30.11
461,-25.54
463,-28.43
465,-22.31
467,-28.22
469,-23.26
471,-26.39
473,-25.29
475,-25.26
477,-28.65
479,-25.2
481,-31.61
483,-34.34
485,-31.43
487,-29.22
489,-31.12
491,-27.86
493,-28.44
495,-29.74
497,-26.85
499,-27.38
501,-27.63
503,-26.2
505,-28.27
507,-25.66
509,-27.19
511,-26.69
513,-33.89
515,-33.42
517,-29.98
519,-28.47
521,-25.88
523,-23.34
525,-30.37
527,-30.7
529,-33.45
531,-26.13
533,-30.43
535,-36.12
537,-32.12
539,-28.17
541,-31.5
543,-22.75
545,-24.8
547,-29.38
549,-23.83
551,-23.68
553,-27.02
555,-22.08
557,-25.2
559,-20.48
561,-27.29
563,-21.67
565,-28.06
567,-25.7
569,-25.62
571,-24.24
573,-27.28
575,-25.26
577,-21.7
579,-28.47
581,-28.36
583,-23.96
585,-26.84
587,-26.56
589,-29.76
591,-18.57
593,-26.71
595,-32.65
597,-28.41
599,-25.81
601,-29.79
603,-24.06
605,-27.8
607,-30.91
609,-31.37
611,-26.48
613,-30.63
615,-28.25
617,-32.44
619,-19.91
621,-16.94
623,-29.71
625,-33.43
627,-28.04
629,-35.62
631,-26.73
633,-25.86
635,-25.74
637,-30.69
639,-30.17
641,-31.39
643,-27.75
645,-31.06
647,-31.02
649,-31.56
651,-27.55
653,-30.22
655,-28.16
657,-33.77
659,-23.78
661,-31.34
663,-33.49
665,-28.41
667,-26.79
669,-36.0
671,-25.18
673,-29.42
675,-27.16
677,-23.39
679,-30.5
681,-28.26
683,-30.26
685,-21.33
687,-29.97
689,-29.05
691,-22.87
693,-32.37
695,-31.67
697,-36.33
699,-35.66
701,-29.56
703,-29.17
705,-23.04
707,-23.39
709,-32.68
711,-25.6
713,-26.41
715,-25.82
717,-30.42
719,-26.92
721,-32.65
723,-31.7
725,-32.99
727,-29.45
729,-29.06
731,-28.36
733,-28.97
735,-32.7
737,-33.01
739,-35.74
741,-34.31
743,-31.4
745,-30.7
747,-32.72
749,-27.44
751,-28.37
753,-31.39
755,-29.15
757,-34.28
759,-33.05
761,-27.54
763,-29.6
765,-29.77
767,-33.95
769,-36.07
771,-31.27
773,-32.6
775,-32.44
777,-37.18
779,-29.01
781,-22.86
783,-35.85
785,-27.07
787,-32.51
789,-31.41
791,-26.08
793,-34.99
795,-37.56
797,-31.7
799,-32.62
801,-27.73
803,-30.47
805,-28.92
807,-31.82
809,-24.39
811,-26.33
813,-24.2
815,-35.59
817,-31.42
819,-31.48
821,-30.45
823,-29.58
825,-36.18
827,-31.67
829,-32.13
831,-28.31
833,-36.08
835,-32.02
837,-29.98
839,-35.81
841,-32.39
843,-30.35
845,-36.09
847,-36.84
849,-27.44
851,-26.38
853,-30.87
855,-33.23
857,-34.16
859,-35.14
861,-26.29
863,-23.77
865,-29.47
867,-28.78
869,-31.21
871,-30.29
873,-27.29
875,-29.2
877,-30.59
879,-31.01
881,-33.73
883,-33.05
885,-30.0
887,-29.61
889,-26.76
891,-36.85
893,-23.9
895,-30.55
897,-26.54
899,-25.65
901,-30.67
903,-25.32
905,-26.07
907,-33.61
909,-30.31
911,-28.93
913,-23.13
915,-35.17
917,-32.53
919,-28.32
921,-25.6
923,-21.56
925,-33.92
927,-32.65
929,-33.79
931,-33.39
933,-31.44
935,-27.67
937,-29.51
939,-26.35
941,-32.1
943,-31.75
945,-27.11
947,-31.36
949,-36.47
951,-20.51
953,-28.12
955,-30.65
957,-26.32
959,-33.4
961,-30.51
963,-34.06
965,-26.39
967,-27.47
969,-29.11
971,-28.43
973,-20.97
975,-25.15
977,-22.8
979,-27.02
981,-31.39
983,-23.36
985,-27.23
987,-25.82
989,-25.21
991,-21.62
993,-26.81
995,-27.09
997,-32.64
999,-27.68
1001,-27.78
