Frames,TOTAL
1,101.36
4,44.34
7,33.86
10,21.7
13,28.93
16,25.95
19,21.83
22,22.81
25,30.15
28,34.43
31,31.67
34,20.82
37,24.07
40,38.41
43,24.02
46,30.85
49,30.29
52,22.12
55,25.94
58,21.35
61,23.34
64,14.38
67,17.02
70,20.22
73,24.77
76,21.93
79,27.22
82,22.88
85,28.52
88,22.64
91,23.42
94,24.26
97,22.03
100,17.77
103,16.56
106,19.68
109,13.62
112,24.0
115,8.16
118,14.3
121,17.43
124,15.03
127,25.66
130,12.89
133,23.64
136,25.33
139,16.4
142,20.83
145,17.19
148,21.44
151,16.72
154,25.78
157,16.0
160,26.54
163,19.19
166,20.12
169,18.79
172,17.52
175,17.52
178,25.21
181,13.17
184,14.21
187,18.86
190,14.17
193,18.58
196,20.44
199,22.39
202,21.59
205,21.04
208,18.77
211,17.65
214,18.5
217,22.92
220,18.96
223,21.02
226,23.75
229,15.79
232,11.53
235,21.49
238,14.71
241,16.85
244,22.62
247,25.48
250,20.53
253,22.37
256,17.37
259,21.0
262,20.69
265,15.03
268,32.57
271,22.92
274,20.51
277,22.29
280,23.7
283,24.76
286,27.29
289,15.1
292,20.83
295,19.3
298,11.5
301,14.62
304,19.95
307,21.57
310,30.49
313,13.57
316,16.51
319,25.49
322,22.12
325,15.45
328,15.5
331,21.23
334,16.34
337,23.14
340,16.05
343,12.5
346,13.9
349,28.96
352,16.98
355,22.49
358,19.33
361,13.37
364,21.49
367,20.6
370,24.09
373,23.86
376,22.22
379,25.73
382,20.81
385,28.87
388,13.41
391,18.88
394,10.02
397,19.08
400,27.02
403,17.97
406,23.58
409,12.94
412,18.53
415,33.37
418,12.16
421,20.54
424,23.71
427,26.25
430,15.78
433,20.31
436,25.83
439,23.81
442,16.34
445,16.2
448,17.71
451,17.36
454,15.77
457,18.99
460,20.2
463,22.44
466,20.79
469,24.83
472,21.21
475,32.21
478,32.63
481,15.58
484,27.59
487,19.98
490,28.48
493,30.21
496,19.72
499,23.38
502,13.96
505,11.79
508,24.72
511,25.41
514,19.21
517,11.43
520,19.17
523,23.53
526,16.0
529,11.2
532,18.34
535,13.75
538,23.9
541,14.94
544,16.97
547,15.63
550,10.1
553,16.21
556,17.61
559,19.06
562,32.17
565,12.62
568,29.16
571,22.47
574,12.72
577,38.27
580,16.86
583,15.53
586,25.2
589,21.12
592,20.59
595,18.87
598,19.19
601,35.17
604,23.94
607,23.28
610,5.5
613,21.58
616,19.54
619,16.49
622,25.05
625,18.74
628,27.11
631,24.9
634,18.31
637,21.52
640,18.76
643,27.75
646,28.15
649,21.79
652,15.48
655,21.46
658,28.44
661,21.33
664,26.04
667,18.39
670,13.27
673,21.86
676,21.83
679,31.39
682,17.56
685,20.09
688,28.28
691,21.91
694,23.65
697,31.08
700,23.85
703,27.96
706,25.8
709,13.81
712,10.15
715,12.94
718,25.44
721,18.17
724,23.98
727,14.97
730,10.16
733,16.8
736,18.35
739,12.96
742,14.15
745,19.06
748,23.74
751,17.52
754,18.95
757,12.9
760,19.91
763,15.21
766,16.19
769,22.3
772,9.66
775,23.05
778,29.29
781,21.59
784,18.18
787,13.69
790,10.78
793,16.26
796,8.25
799,26.37
802,18.45
805,17.22
808,22.36
811,14.95
814,21.2
817,21.48
820,20.58
823,22.64
826,22.19
829,20.83
832,26.21
835,28.46
838,20.49
841,18.39
844,29.78
847,15.6
850,24.94
853,27.07
856,23.99
859,25.41
862,29.81
865,13.27
868,22.4
871,18.64
874,17.78
877,18.38
880,26.85
883,33.71
886,31.78
889,19.68
892,21.98
895,19.94
898,32.24
901,23.48
904,19.28
907,29.1
910,13.94
913,32.67
916,20.1
919,18.01
922,21.46
925,20.77
928,24.58
931,17.5
934,37.28
937,22.54
940,24.32
943,28.43
946,9.17
949,27.47
952,24.33
955,22.75
958,20.42
961,16.23
964,17.22
967,20.49
970,21.78
973,19.16
976,21.05
979,19.02
982,14.53
985,20.76
988,27.93
991,18.74
994,21.35
997,18.39
1000,15.06
